customer_id,first_name,last_name,phone,email,street,city,state_zip
538,Sherie,Ayala,NULL,sherie.ayala@msn.com,5 Beech Ave.,South El Monte,"CA,91733"
1330,Karren,Stevenson,NULL,karren.stevenson@aol.com,155 Old York St.,San Carlos,"CA,94070"
1178,Wendie,Nash,(805) 389-2549,wendie.nash@hotmail.com,9 South Road,Oxnard,"CA,93035"
300,Rayford,Simon,NULL,rayford.simon@msn.com,998 Whitemarsh Road,Mountain View,"CA,94043"
1328,Cindie,Franklin,NULL,cindie.franklin@yahoo.com,7249 Franklin St.,Lawndale,"CA,90260"
1381,Mercedez,Brooks,NULL,mercedez.brooks@hotmail.com,7483 Ann St.,Duarte,"CA,91010"
318,Eliz,Whitney,NULL,eliz.whitney@msn.com,523 Crescent Court,Fullerton,"CA,92831"
708,Majorie,Glover,NULL,majorie.glover@msn.com,4 Garden Ave.,Apple Valley,"CA,92307"
1367,Lucile,Manning,NULL,lucile.manning@yahoo.com,511 Livingston Lane,Campbell,"CA,95008"
82,Lizzie,Joyner,NULL,lizzie.joyner@msn.com,8541 Roberts St.,Coachella,"CA,92236"
704,Morton,Barron,(661) 386-4884,morton.barron@msn.com,542 Circle Rd.,Bakersfield,"CA,93306"
386,Nelle,Beck,NULL,nelle.beck@aol.com,8998 Wakehurst Drive,Upland,"CA,91784"
846,Sylvester,Chan,NULL,sylvester.chan@hotmail.com,659 Arcadia Street,Rocklin,"CA,95677"
305,Hope,Cotton,NULL,hope.cotton@aol.com,9092 Blue Spring Dr.,Redondo Beach,"CA,90278"
671,Jennette,Baker,NULL,jennette.baker@gmail.com,798 Marvon St.,Banning,"CA,92220"
696,Norine,Huffman,NULL,norine.huffman@aol.com,363 Dunbar Drive,Encino,"CA,91316"
1068,Doris,Kaufman,NULL,doris.kaufman@gmail.com,69 Fairground Dr.,Duarte,"CA,91010"
585,Chasidy,Webster,NULL,chasidy.webster@msn.com,8296 S. Lookout Lane,Rocklin,"CA,95677"
571,Kaley,Blanchard,NULL,kaley.blanchard@msn.com,74 Evergreen Court,Palos Verdes Peninsula,"CA,90274"
418,Georgeanna,Webster,(805) 885-8830,georgeanna.webster@msn.com,40 Creekside Circle,Oxnard,"CA,93035"
729,Hue,Dalton,NULL,hue.dalton@hotmail.com,7940 Oakwood Street,Apple Valley,"CA,92307"
519,Rudolf,Gilliam,NULL,rudolf.gilliam@aol.com,17 Marlborough Circle,Palos Verdes Peninsula,"CA,90274"
915,Beryl,Bennett,(916) 422-6956,beryl.bennett@aol.com,9563 Edgemont St.,Sacramento,"CA,95820"
1430,Tayna,Wade,(661) 858-1224,tayna.wade@hotmail.com,65 Smith Store Dr.,Bakersfield,"CA,93306"
181,Olevia,Pitts,NULL,olevia.pitts@gmail.com,39 Fieldstone Drive,Redondo Beach,"CA,90278"
952,Aileen,Marquez,NULL,aileen.marquez@msn.com,8899 Newbridge Street,Torrance,"CA,90505"
175,Nova,Hess,NULL,nova.hess@msn.com,773 South Lafayette St.,Duarte,"CA,91010"
33,Deloris,Burke,NULL,deloris.burke@hotmail.com,895 Edgemont Drive,Palos Verdes Peninsula,"CA,90274"
120,Luz,House,(559) 114-2580,luz.house@gmail.com,491 Railroad Street,Fresno,"CA,93706"
1214,Brigid,Sharp,NULL,brigid.sharp@hotmail.com,495 Sleepy Hollow Court,Santa Clara,"CA,95050"
767,Twana,Arnold,(657) 988-1904,twana.arnold@msn.com,47 North Fairground Lane,Anaheim,"CA,92806"
660,Shara,Pope,NULL,shara.pope@msn.com,194 Amherst Dr.,Ridgecrest,"CA,93555"
731,Hilary,Savage,(805) 753-6881,hilary.savage@yahoo.com,696 Howard Court,Oxnard,"CA,93035"
1251,Nanette,Roman,NULL,nanette.roman@yahoo.com,8254 North Riverview Street,Glendora,"CA,91740"
868,Domingo,Casey,(408) 761-9212,domingo.casey@msn.com,8665 Cypress Street,San Jose,"CA,95127"
5,Charolette,Rice,(916) 381-6003,charolette.rice@msn.com,107 River Dr.,Sacramento,"CA,95820"
