customer_id,first_name,last_name,phone,email,street,city,state_zip
1347,Kate,Barber,NULL,kate.barber@hotmail.com,46 W. Oak Valley Ave.,Saratoga Springs,"NY,12866"
377,Klara,Mosley,NULL,klara.mosley@gmail.com,518 Devon Court,Port Chester,"NY,10573"
1096,Tonda,Webb,NULL,tonda.webb@yahoo.com,53 SW. Edgemont Rd.,Baldwinsville,"NY,13027"
134,Brianna,Moss,(516) 156-8031,brianna.moss@msn.com,4 Longfellow St.,Hempstead,"NY,11550"
598,Benito,Hendrix,NULL,benito.hendrix@gmail.com,676 S. Bowman Lane,Depew,"NY,14043"
1044,Zenia,Bruce,NULL,zenia.bruce@aol.com,349 James Road,Rosedale,"NY,11422"
1311,Whitley,Cannon,NULL,whitley.cannon@msn.com,614 High Point Lane,Coram,"NY,11727"
638,Tomeka,Higgins,NULL,tomeka.higgins@msn.com,591 W. Corona St.,Poughkeepsie,"NY,12601"
1341,Rozanne,Reyes,NULL,rozanne.reyes@aol.com,11 W. Surrey Drive,Garden City,"NY,11530"
1009,Deangelo,Cooley,NULL,deangelo.cooley@aol.com,3 NE. Edgewood Rd.,Rosedale,"NY,11422"
979,Ingeborg,Ellison,NULL,ingeborg.ellison@yahoo.com,360 Trusel St.,Ithaca,"NY,14850"
1185,Corine,Stuart,NULL,corine.stuart@msn.com,5 Penn Street,Clifton Park,"NY,12065"
351,Margorie,Wynn,NULL,margorie.wynn@gmail.com,707 Schoolhouse St.,Monsey,"NY,10952"
29,Syreeta,Hendricks,NULL,syreeta.hendricks@msn.com,193 Spruce Road,Mahopac,"NY,10541"
524,Larraine,Horn,NULL,larraine.horn@msn.com,368 South Summerhouse Dr.,Utica,"NY,13501"
789,Tad,Gardner,NULL,tad.gardner@hotmail.com,9745 E. Wilson St.,Niagara Falls,"NY,14304"
632,Yvette,Rogers,NULL,yvette.rogers@aol.com,3 SE. Oklahoma Drive,Franklin Square,"NY,11010"
832,Pamala,Fowler,NULL,pamala.fowler@gmail.com,399 Leatherwood St.,Ballston Spa,"NY,12020"
825,Kristel,Byrd,NULL,kristel.byrd@hotmail.com,9967 Piper Street,Hicksville,"NY,11801"
1278,Loan,Graham,NULL,loan.graham@yahoo.com,57 Glen Eagles St.,Jackson Heights,"NY,11372"
1295,Alline,Beasley,NULL,alline.beasley@yahoo.com,8704 NE. Olive Ave.,North Tonawanda,"NY,14120"
115,Rey,Lindsay,NULL,rey.lindsay@gmail.com,16 Philmont St.,Monroe,"NY,10950"
283,Jaimee,Day,NULL,jaimee.day@aol.com,7534 Whitemarsh Ave.,Poughkeepsie,"NY,12601"
354,Tonda,Armstrong,NULL,tonda.armstrong@aol.com,19 Forest Rd.,Sunnyside,"NY,11104"
1168,Almeta,Benjamin,NULL,almeta.benjamin@aol.com,8456 Oakwood St.,Sunnyside,"NY,11104"
1026,Jenine,Dawson,NULL,jenine.dawson@msn.com,17 Park Street,Endicott,"NY,13760"
1082,Divina,Madden,(562) 264-3998,divina.madden@gmail.com,7314 Armstrong St.,Long Beach,"NY,11561"
699,Zella,Fernandez,NULL,zella.fernandez@yahoo.com,8 Marshall Dr.,Rockville Centre,"NY,11570"
333,Ami,Mcmahon,NULL,ami.mcmahon@aol.com,566 Hilldale Drive,Sunnyside,"NY,11104"
421,Iola,Rasmussen,NULL,iola.rasmussen@yahoo.com,283 N. Manor Station Dr.,Monroe,"NY,10950"
851,Arlena,Buckner,NULL,arlena.buckner@hotmail.com,629 Locust Ave.,New Hyde Park,"NY,11040"
1212,Jaqueline,Cummings,NULL,jaqueline.cummings@hotmail.com,478 Wrangler St.,Huntington Station,"NY,11746"
595,Frederica,Rojas,NULL,frederica.rojas@yahoo.com,7835 West Jockey Hollow Rd.,Ithaca,"NY,14850"
921,Evelin,Vargas,NULL,evelin.vargas@msn.com,7049 Pin Oak Ave.,Webster,"NY,14580"
573,Rubye,Mccall,(248) 764-3359,rubye.mccall@hotmail.com,71 Sherwood Dr.,Troy,"NY,12180"
1031,Tonja,Bean,NULL,tonja.bean@aol.com,9 Middle River St.,Fairport,"NY,14450"
1322,Ai,Forbes,NULL,ai.forbes@yahoo.com,254 Central St.,Franklin Square,"NY,11010"
1398,Nevada,Hood,NULL,nevada.hood@aol.com,515 Bank Rd.,Hopewell Junction,"NY,12533"
1274,Odette,Moses,NULL,odette.moses@gmail.com,899 Overlook Lane,Newburgh,"NY,12550"
1444,Ivette,Estes,NULL,ivette.estes@gmail.com,88 N. Canterbury Ave.,Canandaigua,"NY,14424"
