customer_id,first_name,last_name,phone,email,street,city,state_zip
533,Garret,Clay,(361) 687-9477,garret.clay@yahoo.com,9516 College Drive,Corpus Christi,"TX,78418"
66,Lorrie,Becker,NULL,lorrie.becker@yahoo.com,19 North Court,Garland,"TX,75043"
43,Mozelle,Carter,(281) 489-9656,mozelle.carter@aol.com,895 Chestnut Ave.,Houston,"TX,77016"
898,Crysta,Velez,(281) 529-3469,crysta.velez@yahoo.com,64 South Front Street,Houston,"TX,77016"
328,Bettie,Glover,NULL,bettie.glover@gmail.com,9083 Addison Dr.,Euless,"TX,76039"
1134,Sherril,Alvarado,NULL,sherril.alvarado@hotmail.com,9434 Cypress Court,Desoto,"TX,75115"
700,Collene,Knox,(361) 760-1523,collene.knox@msn.com,7 North Branch Lane,Corpus Christi,"TX,78418"
1061,Alanna,Barry,NULL,alanna.barry@yahoo.com,33 Laurel Avenue,Euless,"TX,76039"
1054,Arielle,Levine,NULL,arielle.levine@yahoo.com,7100 High Ridge St.,Garland,"TX,75043"
567,Sheila,Travis,NULL,sheila.travis@yahoo.com,9285 Front St.,Longview,"TX,75604"
964,Brent,Calderon,(361) 981-8725,brent.calderon@aol.com,3 Thomas St.,Corpus Christi,"TX,78418"
117,Dacia,William,NULL,dacia.william@msn.com,62 Cypress Drive,Sugar Land,"TX,77478"
1160,Efren,Whitfield,NULL,efren.whitfield@gmail.com,139 Union Rd.,Euless,"TX,76039"
61,Elinore,Aguilar,NULL,elinore.aguilar@msn.com,9766 Rockcrest Ave.,San Angelo,"TX,76901"
280,Brenda,Tate,NULL,brenda.tate@msn.com,36 Hilltop Street,San Angelo,"TX,76901"
566,Cinthia,Poole,NULL,cinthia.poole@aol.com,7 Central Ave.,Lake Jackson,"TX,77566"
982,Orval,Hunter,NULL,orval.hunter@aol.com,35 Wagon Drive,San Angelo,"TX,76901"
1192,Gena,Owens,NULL,gena.owens@gmail.com,43 Buckingham St.,Desoto,"TX,75115"
985,Milagros,Weber,NULL,milagros.weber@hotmail.com,7591 Glendale Ave.,Harlingen,"TX,78552"
551,Jenine,Crane,(682) 183-6555,jenine.crane@msn.com,7381 Alderwood Drive,Fort Worth,"TX,76110"
13,Lashawn,Ortiz,NULL,lashawn.ortiz@msn.com,27 Washington Rd.,Longview,"TX,75604"
56,Lolita,Mosley,(281) 363-3309,lolita.mosley@hotmail.com,376 S. High Ridge St.,Houston,"TX,77016"
415,Gwendolyn,Miller,NULL,gwendolyn.miller@msn.com,90 Fordham Ave.,Harlingen,"TX,78552"
730,Andria,Rivers,NULL,andria.rivers@aol.com,183 Ohio Ave.,Amarillo,"TX,79106"
842,Giselle,Robles,NULL,giselle.robles@hotmail.com,9747 N. El Dorado Dr.,San Angelo,"TX,76901"
451,Jennette,Wooten,NULL,jennette.wooten@msn.com,8221 Bow Ridge Lane,Rowlett,"TX,75088"
1029,Ping,Quinn,NULL,ping.quinn@gmail.com,9051 Hanover Dr.,Rowlett,"TX,75088"
123,Robena,Hill,(361) 598-4414,robena.hill@hotmail.com,263 Cross St.,Corpus Christi,"TX,78418"
433,Holly,Nieves,NULL,holly.nieves@aol.com,60 Cleveland St.,Longview,"TX,75604"
958,Ciera,Koch,NULL,ciera.koch@gmail.com,881 Lawrence Drive,Euless,"TX,76039"
1111,Caroline,Jenkins,NULL,caroline.jenkins@msn.com,86 River Lane,Richardson,"TX,75080"
422,Valery,Saunders,NULL,valery.saunders@msn.com,42 Marlborough St.,Victoria,"TX,77904"
119,Thalia,Dillard,NULL,thalia.dillard@yahoo.com,987 NE. Gates Street,San Angelo,"TX,76901"
275,Pinkie,Kirkland,NULL,pinkie.kirkland@yahoo.com,18 Myers St.,San Angelo,"TX,76901"
859,Julianne,Shannon,NULL,julianne.shannon@hotmail.com,28 Applegate Street,Sugar Land,"TX,77478"
543,Jasmin,Young,NULL,jasmin.young@gmail.com,337 Beach Street,Helotes,"TX,78023"
64,Bobbie,Foster,NULL,bobbie.foster@yahoo.com,988 Pineknoll Ave.,Desoto,"TX,75115"
677,Launa,Hull,NULL,launa.hull@yahoo.com,936 Grove Street,Helotes,"TX,78023"
526,Lazaro,Moran,NULL,lazaro.moran@gmail.com,83 E. Buttonwood Street,Sugar Land,"TX,77478"
14,Garry,Espinoza,NULL,garry.espinoza@hotmail.com,7858 Rockaway Court,Forney,"TX,75126"
691,Ladawn,Downs,(281) 165-2090,ladawn.downs@yahoo.com,7452 S. Airport Court,Houston,"TX,77016"
160,Omer,Estrada,NULL,omer.estrada@gmail.com,9 Honey Creek Street,Rowlett,"TX,75088"
1266,Myrl,Gay,NULL,myrl.gay@hotmail.com,8708 Taylor Lane,Garland,"TX,75043"
1063,Tammy,Austin,NULL,tammy.austin@yahoo.com,182 Stillwater Ave.,Lake Jackson,"TX,77566"
1165,Rikki,Morrow,(682) 936-1482,rikki.morrow@hotmail.com,7096 Plumb Branch Road,Fort Worth,"TX,76110"
602,Delaine,Estes,NULL,delaine.estes@yahoo.com,8916 Hartford Rd.,Amarillo,"TX,79106"
579,Matilda,Larson,NULL,matilda.larson@hotmail.com,336 Saxon Court,Harlingen,"TX,78552"
743,Tania,Swanson,NULL,tania.swanson@yahoo.com,8646 Glen Eagles Ave.,Longview,"TX,75604"
203,Minerva,Decker,(281) 271-6390,minerva.decker@yahoo.com,794 Greenrose Street,Houston,"TX,77016"
360,Van,Peters,(281) 658-7772,van.peters@yahoo.com,45 Fifth Dr.,Houston,"TX,77016"
1426,Londa,Gould,(361) 206-5550,londa.gould@aol.com,9169 Beech Lane,Corpus Christi,"TX,78418"
1105,Armando,Black,NULL,armando.black@gmail.com,8611 N. Poor House St.,Richardson,"TX,75080"
314,Javier,Nichols,NULL,javier.nichols@msn.com,8944 Marconi St.,Rowlett,"TX,75088"
599,Jonell,Rivas,NULL,jonell.rivas@msn.com,8415 East High Point St.,Amarillo,"TX,79106"
475,Alec,Peck,NULL,alec.peck@hotmail.com,4 W. Belmont St.,Victoria,"TX,77904"
810,Ivelisse,Nixon,(281) 941-4933,ivelisse.nixon@aol.com,782 Boston Ave.,Houston,"TX,77016"
250,Ivonne,Yang,(915) 181-1950,ivonne.yang@gmail.com,7359 North Lake View St.,El Paso,"TX,79930"
1150,Keturah,Reid,(361) 394-2024,keturah.reid@yahoo.com,747 SE. Beech Ave.,Corpus Christi,"TX,78418"
668,Calandra,Stanton,NULL,calandra.stanton@aol.com,36 Livingston Dr.,Lake Jackson,"TX,77566"
1135,Alisia,Albert,NULL,alisia.albert@gmail.com,9490 Coffee St.,Garland,"TX,75043"
185,Morton,Lee,NULL,morton.lee@yahoo.com,313 Ridge St.,San Angelo,"TX,76901"
1423,Dollie,Cervantes,(682) 362-7457,dollie.cervantes@aol.com,8828 Applegate Drive,Fort Worth,"TX,76110"
910,Elenore,William,NULL,elenore.william@msn.com,23 Rockland St.,Mcallen,"TX,78501"
1213,Yang,Giles,NULL,yang.giles@gmail.com,25 Bridle Lane,San Angelo,"TX,76901"
565,Dagny,Owen,NULL,dagny.owen@hotmail.com,8028 Thompson Drive,San Angelo,"TX,76901"
154,Jenise,Preston,NULL,jenise.preston@yahoo.com,9 Littleton Drive,Helotes,"TX,78023"
1417,Jasper,Castro,NULL,jasper.castro@aol.com,977 SE. Railroad Road,Forney,"TX,75126"
